#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  59000      6.57e-01    2.40e+00      3.78e-02    2.56e-02      2.12e-02    8.20e-02    8.5e-04
  60000      2.54e+00    1.36e+00      5.97e-02    5.40e-03      8.66e-02    4.69e-02    8.4e-04
  61000      4.53e-01    2.17e+00      1.19e-01    2.79e-02      1.04e-02    7.48e-02    8.4e-04
  62000      3.60e+00    2.62e+00      7.30e-02    5.68e-02      1.24e-01    9.01e-02    8.4e-04
  63000      2.15e+00    6.95e+00      1.34e-01    1.65e-02      6.69e-02    2.40e-01    8.4e-04
  64000      5.89e+00    3.88e+00      1.48e-01    1.56e-01      2.03e-01    1.33e-01    8.4e-04
  65000      1.60e+00    1.20e+00      8.42e-02    1.31e-03      5.33e-02    4.18e-02    8.3e-04
  66000      3.17e+00    1.02e+00      5.55e-02    3.01e-02      1.10e-01    3.52e-02    8.3e-04
  67000      1.94e+00    2.26e-01      5.46e-02    8.81e-02      6.69e-02    2.39e-03    8.3e-04
  68000      1.80e+00    1.50e-01      3.36e-02    5.80e-02      6.19e-02    1.70e-03    8.3e-04
  69000      1.71e+00    1.61e+00      9.34e-02    3.01e-02      5.75e-02    5.58e-02    8.3e-04
  70000      2.73e+00    1.28e+00      6.80e-02    6.62e-02      9.52e-02    4.43e-02    8.2e-04
  71000      2.19e+00    2.58e+00      4.94e-02    9.74e-04      7.56e-02    9.02e-02    8.2e-04
  72000      3.49e+00    4.29e+00      4.25e-02    7.18e-02      1.22e-01    1.50e-01    8.2e-04
  73000      1.15e+00    1.58e-01      2.57e-02    2.61e-02      4.03e-02    5.02e-03    8.2e-04
  74000      2.32e+00    3.02e+00      7.48e-02    7.18e-02      7.75e-02    1.05e-01    8.2e-04
  75000      1.17e+00    4.61e+00      2.85e-02    6.01e-02      4.01e-02    1.62e-01    8.1e-04
  76000      1.38e+00    7.32e+00      3.49e-02    7.60e-02      4.83e-02    2.58e-01    8.1e-04
  77000      4.28e+00    1.34e+00      4.01e-02    6.17e-02      1.51e-01    4.69e-02    8.1e-04
  78000      1.47e+00    4.23e+00      3.86e-02    4.23e-02      5.14e-02    1.49e-01    8.1e-04
  79000      3.51e+00    3.28e-01      3.09e-02    6.59e-02      1.24e-01    9.86e-03    8.1e-04
  80000      3.88e+00    2.95e-01      2.48e-02    1.10e-01      1.38e-01    1.54e-03    7.9e-04
  81000      4.92e+00    4.66e+00      1.21e-01    1.32e-01      1.74e-01    1.65e-01    7.9e-04
  82000      3.87e-01    4.47e+00      8.41e-02    1.97e-01      7.94e-03    1.58e-01    7.9e-04
  83000      4.40e+00    1.67e-01      3.95e-02    6.05e-02      1.56e-01    1.50e-03    7.9e-04
  84000      2.10e+00    2.06e+00      2.66e-02    3.28e-03      7.42e-02    7.31e-02    7.9e-04
  85000      3.50e+00    5.62e+00      8.11e-02    5.42e-02      1.25e-01    2.01e-01    7.8e-04
  86000      3.06e+00    3.90e-01      4.48e-02    4.29e-02      1.09e-01    1.33e-02    7.8e-04
  87000      5.08e+00    1.19e-01      2.09e-02    4.33e-03      1.82e-01    4.23e-03    7.8e-04
  88000      6.44e-01    1.44e-01      6.16e-03    5.00e-02      2.30e-02    1.62e-03    7.8e-04
  89000      4.13e+00    3.38e+00      4.06e-02    1.83e-02      1.48e-01    1.21e-01    7.8e-04
  90000      1.30e+00    6.43e+00      6.01e-02    1.02e-01      4.57e-02    2.31e-01    7.7e-04
  91000      3.07e-01    4.16e+00      4.87e-02    3.30e-02      8.80e-03    1.50e-01    7.7e-04
  92000      2.88e+00    3.39e+00      4.64e-02    3.01e-02      1.03e-01    1.22e-01    7.7e-04
  93000      3.65e-01    1.06e-01      2.51e-02    2.86e-02      1.27e-02    2.52e-03    7.7e-04
  94000      1.77e+00    3.60e+00      3.14e-02    6.04e-02      6.32e-02    1.29e-01    7.7e-04
  95000      2.78e+00    1.46e+00      1.30e-02    3.13e-02      1.01e-01    5.27e-02    7.6e-04
  96000      2.41e+00    1.47e+00      5.69e-02    1.15e-02      8.61e-02    5.32e-02    7.6e-04
  97000      1.28e+00    1.35e-01      1.65e-02    4.57e-02      4.61e-02    1.26e-03    7.6e-04
  98000      7.06e-01    1.94e-01      5.24e-02    6.76e-02      2.50e-02    7.60e-04    7.6e-04
  99000      1.85e+00    5.08e+00      3.12e-02    6.77e-02      6.69e-02    1.84e-01    7.6e-04
 100000      2.31e+00    3.97e+00      5.71e-02    1.49e-02      8.29e-02    1.45e-01    7.5e-04
 101000      9.09e-01    2.40e+00      1.76e-02    1.44e-02      3.27e-02    8.76e-02    7.5e-04
 102000      2.03e-01    4.27e+00      2.11e-02    2.82e-02      6.72e-03    1.56e-01    7.5e-04
 103000      2.72e+00    1.15e+00      6.63e-02    7.03e-02      9.88e-02    4.13e-02    7.5e-04
 104000      3.37e+00    3.44e-01      5.68e-02    7.31e-02      1.23e-01    9.88e-03    7.5e-04
 105000      4.64e-01    4.09e+00      1.27e-02    1.69e-02      1.68e-02    1.51e-01    7.4e-04
 106000      3.12e+00    1.60e+00      2.07e-02    4.23e-04      1.15e-01    5.88e-02    7.4e-04
 107000      3.24e+00    1.37e+00      4.26e-02    1.93e-02      1.19e-01    5.04e-02    7.4e-04
 108000      2.61e+00    2.37e-01      5.06e-02    6.57e-02      9.47e-02    4.93e-03    7.4e-04
 109000      2.74e+00    9.83e-01      9.51e-02    6.45e-02      9.96e-02    3.55e-02    7.4e-04
 110000      5.15e+00    2.30e+00      3.64e-02    1.85e-02      1.91e-01    8.52e-02    7.3e-04
 111000      7.17e-01    1.32e+00      3.18e-02    1.07e-02      2.58e-02    4.87e-02    7.3e-04
 112000      1.96e+00    2.83e+00      4.41e-02    3.34e-03      6.91e-02    1.05e-01    7.3e-04
 113000      1.96e+00    6.36e-01      2.51e-02    1.86e-01      7.21e-02    1.10e-02    7.3e-04
 114000      1.47e+00    2.33e+00      2.85e-02    3.36e-02      5.31e-02    8.63e-02    7.3e-04
 115000      1.58e+00    6.49e-02      3.00e-02    2.01e-02      5.77e-02    7.29e-04    7.2e-04
 116000      3.96e+00    4.53e+00      2.19e-02    5.38e-02      1.48e-01    1.69e-01    7.2e-04
 117000      2.44e+00    4.65e-01      1.75e-02    3.23e-02      9.00e-02    1.69e-02    7.2e-04
 118000      5.50e+00    3.97e+00      2.57e-02    2.43e-02      2.05e-01    1.48e-01    7.2e-04
 119000      2.62e+00    3.51e+00      5.28e-02    1.01e-02      9.35e-02    1.31e-01    7.2e-04
 120000      7.16e-01    1.83e-01      2.77e-02    1.14e-02      2.62e-02    6.73e-03    7.1e-04
 121000      2.21e+00    7.91e-01      1.30e-02    1.04e-02      8.31e-02    2.97e-02    7.1e-04
 122000      3.70e+00    3.85e+00      9.37e-02    8.04e-02      1.37e-01    1.44e-01    7.1e-04
 123000      1.81e+00    8.20e-02      1.33e-02    1.01e-02      6.80e-02    2.85e-03    7.1e-04
 124000      2.76e+00    2.00e-02      1.96e-02    2.61e-03      1.04e-01    6.87e-04    7.1e-04
 125000      4.39e+00    5.94e+00      3.88e-02    2.55e-02      1.66e-01    2.25e-01    7.0e-04
 126000      1.44e+00    3.20e+00      3.08e-02    2.95e-02      5.44e-02    1.21e-01    7.0e-04
 127000      2.87e+00    1.87e-01      4.26e-02    4.10e-02      1.08e-01    5.09e-03    7.0e-04
 128000      2.08e+00    4.51e+00      1.62e-02    2.79e-02      7.85e-02    1.71e-01    7.0e-04
 129000      1.41e+00    1.98e+00      9.91e-03    8.01e-03      5.32e-02    7.49e-02    7.0e-04
 130000      2.03e+00    3.48e+00      2.34e-02    1.90e-02      7.64e-02    1.33e-01    6.9e-04
 131000      3.35e-01    4.99e-01      5.51e-02    6.04e-02      9.81e-03    1.75e-02    6.9e-04
 132000      1.10e+00    2.10e+00      2.94e-02    1.32e-02      4.04e-02    8.01e-02    6.9e-04
 133000      1.96e+00    2.26e+00      2.58e-02    2.35e-02      7.39e-02    8.60e-02    6.9e-04
 134000      2.11e+00    2.23e+00      1.37e-02    1.43e-02      8.05e-02    8.50e-02    6.9e-04
 135000      7.24e-02    8.11e-01      1.54e-02    9.74e-03      1.55e-03    3.11e-02    6.8e-04
 136000      1.10e+00    3.65e+00      2.76e-02    3.44e-02      4.13e-02    1.40e-01    6.8e-04
 137000      1.68e+00    6.37e-01      3.11e-02    2.64e-02      6.44e-02    2.42e-02    6.8e-04
 138000      3.42e+00    4.79e+00      4.61e-02    4.19e-02      1.30e-01    1.84e-01    6.8e-04
 139000      7.43e-01    5.20e+00      1.73e-02    4.76e-02      2.85e-02    2.00e-01    6.8e-04
 140000      1.67e+00    1.22e+00      1.74e-02    1.30e-03      6.42e-02    4.70e-02    6.7e-04
 141000      4.10e+00    1.50e+00      3.13e-02    1.10e-02      1.58e-01    5.79e-02    6.7e-04
 142000      1.74e+00    9.28e-01      1.06e-02    3.08e-03      6.69e-02    3.59e-02    6.7e-04
