# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
87000 -3064.35 -5093.52 -1746.29 -2372.81 -2799.75 -1752.13
88000 -5386.72 -6620.67 -1973.94 -4633.57 -4301.91 -1956.51
89000 -9235.14 -6178.1 -2556.19 -8799.19 -4083.65 -2555.48
90000 -8425.09 -4361.65 -2955.63 -8251.74 -2614.74 -2957.69
91000 -8387.35 -1118.35 -3167.62 -8204.88 1129.87 -3126.99
92000 -8831.51 -2456.02 -2897.74 -9054.92 -125.352 -2879.68
93000 -11626 -3227.74 -2584.7 -12164 -1314.06 -2577.35
94000 -11343.3 -4999.14 -2928.65 -11768.9 -3222.28 -2848.95
95000 -10199.1 -5158.56 -2851.51 -10294.1 -2878.99 -2860.63
96000 -9267.2 -1774.08 -2605.37 -9506.38 237.731 -2640.45
97000 -8832.88 259.641 -2474.64 -9253.1 2344.96 -2470.23
98000 -8517.83 2858.45 -2585.68 -9232.01 4161.31 -2544.15
99000 -7240.54 1468.03 -1613.75 -7511.34 2758.76 -1586.22
100000 -3756.82 2141.85 -2130.66 -4493.7 3248.57 -2104.21
101000 -5403.78 923.137 -2629.84 -5554.22 1619.24 -2611.54
102000 -6381.34 -850.004 -2130.98 -6825.45 223.434 -2132.84
103000 -7263.83 1260.8 -1216.36 -7756.84 2642.09 -1198.28
104000 -9277.71 4733.3 -1998.6 -9925.91 6212.17 -1998.9
105000 -8607.98 4250.41 -1974.69 -9222.64 5575.08 -1966.69
106000 -6977.22 5019.32 -1048.96 -7402.9 6248.69 -1097.43
107000 -7271.68 5950.28 -1386.42 -7428.93 7241.47 -1421.57
108000 -7453.54 5470.15 -1704.98 -7805.79 6192.57 -1709.05
109000 -5806.45 6128.06 -1462.04 -6028.2 6435.29 -1467.61
110000 -6269.31 3642.52 -1507.02 -6296.67 4580.36 -1507.18
111000 -5278.47 -1287.77 -1792.44 -5249.54 457.594 -1755.49
112000 -3817.88 -997.518 -2383.46 -4325.96 1066.48 -2376.74
113000 -2996.78 -736.171 -2716.17 -3598.83 1237.46 -2707
114000 -208.886 -1711.49 -3048.66 -356.384 510.692 -3023.59
115000 -229.269 1381.28 -3221.68 -554.989 3573.67 -3211.45
116000 1072.75 -853.666 -3828.58 105.73 1099.32 -3809.08
117000 3022 -4164.31 -4906.79 2521.94 -2469.31 -4852.31
118000 1470.72 -7458.69 -4909.15 1661.38 -6122.25 -4910.17
119000 3605.63 -8837.65 -5917.68 3445.21 -6636.81 -5879.94
120000 8166.84 -7293.85 -6932.7 8142.36 -4540.22 -6913.01
121000 9232.8 -3480.3 -7376.26 9516.52 -1529.26 -7337.24
122000 10140.1 -3392.04 -7937.88 10493.9 -2071.89 -7943.42
123000 10432.3 -3759.5 -8286.52 10435.1 -2619.23 -8291.51
124000 12258.2 -2579.7 -8844.39 12936.2 -1120.52 -8782.1
125000 14591.2 -6017.48 -9393.35 14959.1 -4569.82 -9320.82
126000 13727.1 -4292.67 -9161.43 13852.9 -3032.46 -9143.89
127000 15694.6 -1965.54 -9339.04 15300.3 -1337.51 -9302.12
128000 11950 -4112.48 -9161.68 11284.5 -2257.47 -9126.21
129000 11679.5 -1903.25 -9966.23 11290.2 -620.864 -9966.65
130000 10239 -1519.42 -10198 9863.02 -25.0405 -10160
131000 7586.24 2216.57 -10097.3 7290.96 3394.25 -10031.3
132000 5829.45 1728.82 -9713.64 5839.41 2229.16 -9722.47
133000 5744.63 2746.97 -9904.8 5912.04 3193.82 -9889.68
134000 6723.85 2233.66 -10031.1 6158.3 2660.88 -10040.5
135000 7438.1 2512.46 -9786.61 6914.41 3846.4 -9748.98
136000 7267.57 2027.3 -9487.91 6536.13 3122.06 -9477.16
137000 6712.35 -899.96 -9498.83 5687.96 338.062 -9438.12
138000 7840.64 -4260.46 -9041.47 6664.67 -2429.87 -9030.57
139000 8751.46 -7290.94 -7945.29 7964.33 -5155.63 -7952.42
140000 6686.17 -7798.2 -8657.14 5987.36 -5380.68 -8602.08
141000 6981.35 -9635.26 -8987.17 6857.68 -7223.77 -8949.6
142000 7487.75 -8894.02 -9160.3 7113.58 -7329.31 -9132.68
143000 7631.08 -9419.83 -9056.37 7242.46 -7605.1 -9053.16
144000 4213.95 -9811.28 -8357.86 3981.71 -8183.56 -8369.77
145000 593.077 -10301.1 -8290.72 846.612 -8656.23 -8206.04
146000 -2880.78 -6835.96 -8532.53 -2582.86 -5830.78 -8458.05
147000 -2632.7 -6511.06 -8645.4 -2373.98 -4620.49 -8633.85
148000 -2661.68 -2815.75 -9658.98 -2136.36 -996.181 -9657.46
149000 -2324.43 -633.577 -10513 -1856.58 1618.99 -10477.6
150000 -2222.72 -961.673 -10462.1 -2060.46 940.586 -10423.8
151000 -3839.38 -198.619 -10463.4 -4142.82 1581.92 -10420
152000 -5461.53 2040.08 -9086.14 -6400.46 3530.51 -9047.02
153000 -8452.04 3248.08 -9051.45 -8557.48 4437.57 -9031.85
154000 -4878.19 6704.44 -9662.94 -4439.19 8128.64 -9643.18
155000 -5020.91 5636.69 -10317.5 -5125.12 6911.67 -10288.9
156000 -8530.16 4646.16 -9810.48 -8514.76 6409.15 -9813.02
157000 -10183.7 5855.54 -9169.37 -10194.4 7122.17 -9139.6
158000 -10708.3 515.647 -9107.05 -11217.8 1942.24 -9073.69
159000 -8775.31 -461.74 -9052.11 -8893.99 1231.96 -9034.39
160000 -9738.04 -627.444 -8822.83 -9874.98 498.864 -8837.33
161000 -11429.9 -859.852 -8424.75 -11513 259.618 -8394.66
162000 -9759.76 768.702 -8157.02 -9660.83 1633.31 -8101.76
163000 -9094.93 2064.46 -8793.76 -9479.78 3274.25 -8741.42
164000 -9757.53 2456.16 -9484.06 -9778.4 4083.56 -9457.81
165000 -10811.5 6028.85 -8997 -10351.5 7367.67 -8949.28
166000 -8837.43 7363.66 -8924.79 -8663.45 8900.44 -8877.6
167000 -8470.45 2915.66 -9584.39 -8323.64 4321.62 -9579.6
168000 -5992.61 2867.77 -9452.82 -6536.88 3851.28 -9445.34
169000 -6552.82 4405.23 -8752.08 -7161.48 5652.84 -8711.74
170000 -7766.44 2917.93 -8108.94 -7839.47 4776.42 -8080.41
171000 -7266.46 4043.86 -7941.01 -7122.03 5529.6 -7907.62
172000 -6508.27 3872.79 -7948.22 -6672.7 4813.45 -7873.29
173000 -7354.92 4156.24 -7952.78 -8042.15 5053.81 -7927.14
174000 -8672.77 1768.18 -7712.92 -9557.82 2781.02 -7656.1
175000 -7192.73 3475.16 -7186.31 -7857.33 3500.87 -7137.15
176000 -4056.82 3314.35 -6117.72 -4234.55 3754.21 -6079.05
177000 -858.651 -262.848 -5053.39 -61.2025 -70.2236 -5054.13
178000 979.624 -5064.25 -5051.96 2420 -4828.65 -5071.48
179000 1729.81 -5687.68 -5569.48 2382.68 -4864.52 -5537.67
180000 2521.15 -2569.72 -5079.95 2625.75 -1757.46 -5072.68
181000 585.422 1077.17 -5487.65 1474 1410.09 -5519.64
182000 1227.63 1303.72 -5948.02 1623.66 1318.12 -5959.75
183000 3002.31 -3239 -5845.18 3683.75 -2467.05 -5809.95
184000 7263.97 -3561.39 -5583.54 7264.91 -2465.09 -5565.72
185000 2920.81 -1875.22 -5400.41 3258.83 -718.292 -5436.94
186000 956.258 -2793.08 -5819.71 1842.8 -1564.36 -5816.32
187000 2954.11 -2124.87 -5907.17 3739.43 -810.297 -5931.32
188000 7593.28 -4081.16 -5344.46 7873.88 -3271.47 -5321.55
189000 9866.9 -3021.63 -5861.8 9934.14 -2211.95 -5847.48
190000 10680.1 -3091.25 -6054.22 10793.9 -2054.46 -6067.18
191000 11032.5 -3315.71 -5302.58 11338.2 -2406.66 -5260.48
192000 12574.2 -7948.15 -4515.93 13350.2 -6571.49 -4512.01
193000 12217 -9429.37 -3860.26 12689.6 -8254.45 -3842.12
194000 14188.9 -6684.61 -4543.25 15055.8 -5380.9 -4530.89
195000 14165.2 -1490.23 -5289.16 14816.6 -198.429 -5264.51
196000 12178.6 -3524.12 -5223.27 13115.1 -2879.27 -5209.58
197000 11499.9 -7094.24 -5075.66 12150.7 -6759.2 -5092.7
198000 9599.2 -9232.12 -4701.74 10064.2 -9284.68 -4655.18
199000 8199.11 -5459.56 -4475.61 8111.44 -5734.74 -4461.2
200000 6928.76 -2158.33 -3898.92 6773.58 -2650.57 -3901.12
201000 8982.18 -5241.07 -3495.16 9015.65 -5235.51 -3472.65
202000 10779.8 -6726.32 -3231.89 10506.9 -6382.67 -3210.08
203000 11532.4 -5914.95 -2948.18 11500.1 -5296.88 -2947.75
204000 10000.5 -640.247 -3012.38 10050.4 -527.59 -3026.78
205000 10410.9 -3959.01 -3970.79 10804.9 -3255.62 -3902.04
206000 10041.4 -8797.03 -4287.19 10324 -7741.03 -4278.56
207000 10549.1 -7583.78 -4252.9 10745.6 -7047.81 -4275.79
208000 7686.12 -9711.93 -4549.41 7981.31 -9001.04 -4593.15
209000 2394.66 -10912.4 -4497.9 2815.65 -10335 -4460.75
210000 492.586 -14051.5 -5209.3 1194.66 -13108.4 -5221.21
211000 2376.42 -18912.8 -5407.06 3499.37 -17769.8 -5390.8
212000 1847.83 -19610.6 -5764.62 2543.91 -18163 -5742.46
213000 2629.18 -18368.6 -5287.98 2902.99 -17038.2 -5264.17
214000 572.349 -15052.2 -4535.36 893.474 -14431.5 -4555.8
215000 -1739.54 -9317.62 -3994.08 -1456.49 -8809.2 -3973.05
216000 846.039 -5939.15 -3964.92 1137.55 -5917.04 -3921.11
217000 3080.41 -4409.97 -4159.59 2930.86 -4693.04 -4177.4
218000 1197.4 -2883.53 -4214.13 1072.74 -2321.21 -4176.56
219000 -2107.84 785.677 -3458.34 -1943.91 1546.37 -3448.69
220000 -6376.12 4401.22 -2840.46 -5869.37 5597.45 -2837.41
221000 -9158.75 6859.07 -2767.56 -8464.02 8198.6 -2803.86
222000 -12106.3 3057.29 -2883.58 -11379.7 4335.19 -2923.79
223000 -13019.3 -165.56 -3057.56 -12649 1345.71 -2993.52
224000 -10997.8 600.853 -3625.08 -10319.3 1952.04 -3604.53
225000 -16200.7 -398.932 -3650.43 -15137.8 650.164 -3609.1
226000 -19053.6 1155.85 -3127.7 -18363 2563.14 -3119.59
