# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
59000 -123.869 129.031 268.957 281.556 282.695 291.106 297.878 299.942 308.471 312.008 322.556 336.698
60000 -124.809 130.898 267.981 280.442 284.472 291.987 296.768 299.108 308.583 313.392 322.953 335.408
61000 -125.674 133.18 267.478 279.129 285.157 292.122 295.833 299.504 308.396 314.6 322.556 335.102
62000 -125.631 135.102 267.006 279.422 285.474 291.666 296.262 298.653 308.926 314.869 321.503 335.235
63000 -126.843 135.661 267.039 279.837 286.341 289.946 295.582 299.022 308.997 315.043 323.342 333.674
64000 -127.666 134.858 269.264 279.204 285.872 288.1 297.029 299.258 308.147 315.043 324.874 332.015
65000 -125.981 135.703 269.938 278.863 284.818 288.267 297.142 299.296 307.296 315.994 325.216 330.464
66000 -128.019 140.2 267.824 280.469 284.466 288.537 296.996 298.982 308.153 315.341 324.355 331.593
67000 -129.095 139.634 268.108 279.686 284.478 289.234 297.062 298.772 308.282 314.709 324.597 332.277
68000 -131.827 141.92 268.911 277.575 283.859 290.433 296.648 298.847 307.589 316.032 323.276 333.997
69000 -133.892 141.5 268.157 277.266 283.329 291.158 295.714 300.635 306.411 317.894 322.679 334.074
70000 -133.842 142.889 268.158 278.281 283.476 290.751 296.279 300.009 306.144 318.795 322.185 333.628
71000 -134.055 143.495 267.988 278.888 282.273 291.578 296.757 299.961 307.045 319.631 319.87 335.254
72000 -137.448 145.733 267.178 277.573 282.664 293.112 296.242 300.82 305.154 319.307 320.635 333.624
73000 -135.68 146.294 265.346 278.984 283.149 292.701 296.548 301.305 305.728 316.372 322.871 333.682
74000 -138.242 147.603 266.304 278.386 282.712 292.099 296.741 301.747 305.95 314.814 324.578 332.516
75000 -138.77 147.441 267.358 277.258 283.535 292.203 297.112 302.55 305.907 314.107 326.08 331.127
76000 -138.653 148.731 267.431 276.558 284.635 291.748 297.534 301.644 307.992 313.51 324.784 331.409
77000 -140.928 149.214 267.937 276.252 285.083 290.592 297.183 301.464 307.906 314.25 323.57 333.237
78000 -142.192 150.405 268.166 275.359 286.962 288.745 297.411 302.225 308.111 314.44 323.637 332.392
79000 -140.99 150.607 268.561 275.698 287.094 287.899 298.382 300.727 308.798 314.533 324.438 331.422
80000 -139.786 153.036 268.098 276.005 286.848 286.932 298.594 302.299 307.898 314.453 323.83 330.532
81000 -143.879 154.107 265.396 277.163 285.309 287.742 298.407 303.296 307.7 313.685 325.007 329.999
82000 -145.27 154.823 266.564 277.407 284.281 287.825 297.766 303.811 307.326 314.555 323.349 331.719
83000 -144.663 155.65 266.778 276.469 285.658 287.692 298.058 303.015 308.148 315.003 322.745 333.025
84000 -145.314 157.912 266.871 275.136 286.298 286.797 300.111 302.189 307.482 316.858 319.726 333.56
85000 -146.564 157.048 266.14 275.823 284.805 286.9 301.503 301.596 307.945 316.319 320.526 333.803
86000 -148.23 159.982 266.994 275.791 283.671 287.298 301.349 300.053 308.939 315.895 321.988 333.016
87000 -150.484 161.285 266.512 276.215 282.973 286.675 301.703 299.953 309.41 315.584 321.815 333.776
88000 -150.213 164.027 265.336 277.344 281.507 286.428 302.938 298.823 308.959 316.854 322.651 332.523
89000 -150.945 164.775 264.09 277.939 280.928 286.635 303.206 297.616 309.499 318 322.914 331.345
90000 -153.623 166.713 264.737 277.9 281.012 288.033 301.839 296.83 311.016 318.035 323.664 330.015
91000 -157.19 167.392 265.907 277.876 281.786 286.336 300.722 298.763 311.608 317.238 325.075 329.781
92000 -157.683 166.996 265.169 278.621 281.392 287.755 299.36 298.229 312.101 316.194 325.472 331.916
93000 -159.561 169.191 264.999 278.549 281.686 289.188 298.537 298.063 309.157 318.099 324.491 334.176
94000 -162.182 170.438 264.441 278.055 282.083 288.88 297.821 299.434 308.65 317.638 324.001 336.952
95000 -163.814 173.435 264.665 276.808 283.17 288.63 296.904 300.228 310.631 317.156 323.468 337.702
96000 -169.09 173.597 263.492 277.717 283.097 289.152 295.326 301.129 311.632 316.007 322.219 340.926
97000 -169.998 177.406 263.943 277.529 282.231 288.436 295.697 302.271 311.09 316.239 321.678 342.79
98000 -170.705 178.236 263.157 275.943 283.226 287.729 295.71 301.503 313.297 315.939 322.001 341.856
99000 -170.586 178.754 262.956 275.852 283.333 288.594 295.68 299.86 312.922 316.761 322.711 340.245
100000 -172.919 181.216 264.334 275.224 282.535 288.988 296.508 299.935 310.98 317.471 325.697 338.13
101000 -171.536 180.329 264.634 273.74 282.228 291.524 295.531 301.181 310.502 317.026 326.546 336.812
102000 -171.649 182.919 264.329 272.982 280.951 294.076 294.087 300.82 309.839 316.13 329.136 334.972
103000 -174.218 184.629 262.747 273.369 281.263 293.675 294.713 301.367 307.543 316.903 330.58 334.88
104000 -174.532 185.794 262.621 274.707 280.096 292.802 296.636 301.206 307.681 316.368 331.234 334.406
105000 -177.486 187.85 261.555 275.152 280.874 292.355 295.174 302.5 308.877 314.572 330.344 334.837
106000 -178.293 186.595 263.039 273.224 282.884 290.095 295.094 303.084 309.485 315.169 328.853 335.964
107000 -178.915 188.785 264.174 272.566 282.963 289.699 295.152 302.206 309.766 316.757 327.834 336.223
108000 -177.962 188.955 265.155 272.408 283.065 288.821 293.809 303.841 309.186 318.143 326.212 336.659
109000 -179.774 189.747 264.187 273.036 283.421 287.44 295.744 301.488 310.049 318.376 326.209 336.768
110000 -182.703 192.576 262.45 274.301 283.025 286.831 296.173 300.267 310.135 319.191 326.227 337.388
111000 -184.942 193.568 262.192 274.187 281.446 286.216 296.632 299.923 309.836 320.026 325.025 338.741
112000 -182.603 195.485 263.243 273.701 282.075 284.43 298.279 300.992 307.644 319.93 324.578 338.69
113000 -186.438 197.33 263.657 273.595 282.1 284.564 297.797 303.137 306.733 318.362 327.063 338.038
114000 -185.187 197.245 264.671 272.666 282.117 284.887 297.372 302.826 307.69 318.355 326.807 337.833
115000 -186.327 199.031 265.316 273.083 281.554 286.174 295.279 304.049 306.822 318.895 326.551 338.205
116000 -188.648 199.02 264.678 273.541 280.068 286.151 295.989 303.569 305.941 320.228 327.255 337.879
117000 -189.111 201.429 263.663 274.04 279.552 286.301 296.389 303.581 305.917 319.925 327.879 336.811
118000 -192.063 203.066 263.553 274.512 279.629 285.201 297.772 302.921 307.012 319.102 327.774 337.724
119000 -194.367 202.712 264.84 274.203 279.877 285.737 295.611 304.357 306.934 317.633 328.373 338.621
120000 -192.213 204.443 265.066 274.874 279.024 286.408 295.639 303.395 308.115 315.874 327.635 339.266
121000 -194.676 207.646 263.29 275.813 277.378 287.927 295.884 301.231 310.946 315.44 326.673 339.352
122000 -196.774 209.127 263.468 274.478 277.611 287.915 296.258 299.989 313.143 313.226 329.306 338.476
123000 -194.776 207.289 265.211 273.493 278.457 288.431 293.924 300.791 312.173 314.03 330.605 337.434
124000 -196.709 210.775 263.654 274.293 278.54 289.142 293.489 301.344 310.047 316.04 330.531 337.575
125000 -197.893 213.442 262.065 275.093 278.741 290.09 293.297 301.378 308.873 316.142 330.756 336.833
126000 -198.527 213.523 261.765 274.082 279.922 290.206 293.34 302.029 307.546 315.817 330.109 337.247
127000 -197.623 213.215 260.978 274.709 280.874 289.145 293.258 303.717 306.4 316.424 329.765 336.404
128000 -197.837 215.965 261.277 273.77 282.23 287.245 294.608 304.48 304.289 318.592 329.209 334.653
129000 -200.136 217.87 261.513 272.701 283.792 286.358 295.255 302.843 304.442 319.136 329.148 333.743
130000 -197.235 218.204 261.546 271.351 284.529 287.925 294.918 300.978 305.005 319.005 330.398 332.203
131000 -199.067 221.468 260.201 271.09 283.07 289.391 295.353 299.1 306.528 318.959 329.003 332.751
132000 -203.467 222.323 259.595 269.908 284.656 289.011 296.005 299.606 307.119 317.488 328.317 333.883
133000 -202.241 224.155 260.257 269.202 285.57 288.863 294.763 301.138 307.251 315.303 329.986 333.38
134000 -203.753 225.886 259.124 271.164 283.868 288.068 295.724 301.306 307.761 315.409 328.628 332.589
135000 -198.907 226.774 257.637 272.467 283.737 288.43 297.238 300.345 308.949 312.538 329.225 332.831
136000 -201.409 226.864 258.561 271.457 283.671 290.298 295.881 299.479 309.448 311.897 329.177 333.17
137000 -201.445 227.72 258.794 271.881 283.846 289.583 295.008 301.01 310.105 311.109 327.866 333.564
138000 -202.077 230.052 259.053 271.397 283.993 289.348 294.373 301.621 310.653 311.996 327.327 331.808
