# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
59000 -117.941 116.478 268.778 282.344 285.457 297.031 296.748 301.706 306.091 313.599 322.08 332.674
60000 -117.898 117.303 269.195 280.883 286.375 296.42 295.686 302.312 306.934 314.953 320.7 332.557
61000 -118.336 120.47 268.626 280.677 285.985 295.36 297.327 300.541 308.712 313.961 320.461 332.511
62000 -120.034 121.738 268.736 280.431 286.105 295.37 297.926 299.822 308.86 314.245 321.944 330.69
63000 -121.298 121.638 268.739 280.723 285.973 295.039 298.294 300.737 307.874 315.861 321.131 330.072
64000 -121.247 122.347 269.18 280.274 286.147 294.057 297.788 301.799 308.299 315.935 321.254 329.677
65000 -122.536 123.3 269.47 280.259 285.213 293.222 298.784 301.432 309.631 314.628 320.996 330.778
66000 -123.968 125.755 269.319 279.725 285.666 293.631 297.579 301.646 310.482 313.785 320.969 332.169
67000 -126.18 125.31 269.409 279.047 285.641 293.257 298.113 301.406 310.414 314.878 320.951 333.882
68000 -127.661 126.058 269.115 278.014 285.42 293.189 298.401 301.82 310.386 315.764 319.507 334.502
69000 -130.266 127.809 269.802 278.061 285.28 292.293 299.537 302.403 310.623 315 320.062 334.325
70000 -132.759 127.833 270.045 278.957 285.176 290.459 300.77 302.157 310.556 315.751 320.272 335.025
71000 -133.178 129.601 270.333 279.126 282.919 291.608 300.279 301.791 312.459 315.452 320.105 334.658
72000 -133.031 131.138 269.315 278.272 283.194 292.714 299.386 301.667 311.742 317.185 319.593 335.285
73000 -135.64 132.71 268.351 278.431 282.235 293.785 300.344 299.534 313.898 317.337 319.164 335.073
74000 -137.04 135.03 267.657 278.369 280.322 295.54 300.117 298.302 315.015 314.854 321.511 335.023
75000 -139.462 133.495 267.793 278.184 279.828 295.757 300.044 298.641 314.658 316.174 322 335.276
76000 -140.573 136.055 265.973 279.691 279.987 294.675 299.244 301.169 311.992 317.93 320.634 336.96
77000 -140.174 139.999 265.954 277.922 281.236 293.341 300.223 301.061 311.807 317.644 319.591 338.822
78000 -143.134 141.362 266.292 277.378 282.017 293.543 299.204 301.758 310.341 319.541 318.745 337.604
79000 -140.723 140.85 265.301 276.632 284.009 294.234 296.882 303.008 310.25 318.837 320.21 334.883
80000 -141.64 143.61 264.348 276.706 284.311 295.339 296.418 303.403 310.534 316.931 321.984 334.295
81000 -142.517 144.454 263.724 277.374 283.572 293.901 296.786 302.683 309.41 318.575 322.339 333.888
82000 -142.722 144.605 264.439 277.411 282.705 293.735 296.083 303.476 310.047 320.556 318.86 336.337
83000 -145.09 145.027 264.813 275.983 284.022 291.71 298.4 303.084 309.066 321.329 319.296 335.226
84000 -146.65 147.155 265.315 276.264 283.262 292.154 298.402 302.997 309.207 321.383 319.434 336.665
85000 -145.408 147.648 264.994 277.612 281.497 291.998 298.632 303.638 309.116 322.397 318.5 335.516
86000 -146.496 148.603 265.075 277.808 279.308 292.274 298.447 303.865 308.739 321.621 319.19 333.857
87000 -144.784 149.515 266.924 276.436 279.354 292.704 298.266 303.848 309.709 320.482 320.544 332.122
88000 -144.492 150.275 268.449 274.626 280.438 293.76 297.018 304.1 309.917 321.188 320.61 331.317
89000 -145.889 150.677 269.15 273.004 281.429 294.381 295.77 305.111 309.075 321.903 319.726 331.424
90000 -147.52 149.661 271.251 271.492 280.42 294.68 295.333 305.136 308.323 322.838 320.144 331.116
91000 -149.034 152.264 269.853 272.139 280.24 295.634 293.613 306.092 307.125 323.233 321.762 330.281
92000 -149.578 155.874 267.758 272.544 281.256 295.182 292.252 307.773 305.858 323.102 322.267 331.559
93000 -150.329 155.889 266.862 272.195 281.859 294.184 293.644 308.534 305.86 322.288 321.259 332.624
94000 -151.857 158.079 266.511 272.376 281.606 294.756 294.038 308.56 307.23 320.522 322.175 332.881
95000 -152.791 158.644 266.818 272.915 280.884 294.376 294.961 306.727 308.183 319.489 322.584 331.709
96000 -152.701 156.917 268.344 272.472 282.184 293.337 296.345 306.35 309.752 316.568 323.878 330.787
97000 -155.286 157.758 267.292 272.639 283.723 292.179 297.976 304.918 308.995 318.647 322.812 333.399
98000 -155.827 161.324 264.555 274.368 283.331 291.533 298.794 305.863 307.14 319.397 323.843 331.845
99000 -157.742 164.072 264.408 273.654 285.008 288.854 300.599 304.968 306.621 319.152 324.683 331.526
100000 -159.746 164.413 263.839 275.325 283.51 289.079 300.175 304.671 307.694 319.97 324.238 331.848
101000 -161.067 165.997 263.34 276.67 282.05 289.968 300.955 302.691 306.779 321.625 322.416 334.878
102000 -163.276 166.654 263.765 276.488 282.37 290.763 300.781 303.951 305.071 321.021 322.353 335.279
103000 -162.997 167.499 262.705 276.604 281.042 292.429 299.6 304.746 306.474 319.597 322.843 335.601
104000 -163.612 168.65 263.674 275.39 281.175 291.672 301.788 302.666 307.843 318.34 323.119 335.221
105000 -165.564 168.617 263.627 274.968 282.047 289.229 302.76 302.922 307.231 317.629 323.935 336.059
