,strain,up_strain_armchair,up_strain_zigzag,bottom_stress_armchair,bottom_stress_zigzag,total_stress_armchair,total_stress_zigzag
0,0.0,0.0,0.0,-0.020919204253472802,5.7458422906203876e-05,4.0416694927168483e-08,8.768629024384203e-08
1,0.0002,0.00018954755915068233,0.00018954755915068233,-0.011985037761085655,-0.0009442227907867159,0.15986882367872488,0.13725195441351398
2,0.0004,0.0003743212308517929,0.0003743212308517929,-0.009702750043139396,0.007472765148038606,0.28851141197190294,0.3031822950452038
3,0.0006,0.000491589877101628,0.000491589877101628,0.07270922012201454,0.08758131247925569,0.4257799421991176,0.3356681385777317
4,0.0008,0.0006783446130005366,0.0006783446130005366,0.10924891444981266,0.10203842514325889,0.5642619192262266,0.47236705295635806
5,0.001,0.0007311797326805536,0.0007311797326805536,0.3184922308961142,0.2943678014782724,0.5339811156783758,0.43963865823740145
6,0.0012,0.0009266704844257401,0.0009266704844257401,0.3877911764736568,0.33219483044867965,0.6347462657927543,0.5224599226900608
7,0.0014,0.0011002000596165296,0.0011002000596165296,0.39208434599172626,0.3446907141172318,0.7247012443546097,0.6902314250735815
8,0.0016,0.0012767214542994676,0.0012767214542994676,0.40697552453099833,0.35115041589700374,0.8849297921247137,0.7583011801820384
9,0.0018,0.0014547798118147437,0.0014547798118147437,0.4196592545234086,0.3740778040825435,0.9690561903330118,0.9436961676465102
10,0.002,0.0016467921739917735,0.0016467921739917735,0.4213208671516635,0.3715168085362488,1.1119325318822662,1.0682128760298724
11,0.0022,0.0018433749782758024,0.0018433749782758024,0.4295099066898588,0.36625903036960034,1.2906268241792263,1.1865093252747383
12,0.0024,0.001990167467142978,0.001990167467142978,0.44700999436493905,0.3827690503187191,1.4140628955727557,1.2756973082296323
13,0.0026,0.0021901882146040386,0.0021901882146040386,0.4510679512774308,0.3851591914695718,1.5594672245467205,1.4004174833346752
14,0.0028,0.0023873813549177836,0.0023873813549177836,0.4650811221800714,0.3921280210632499,1.6993383671286086,1.469693565574284
15,0.003,0.0025665734247539707,0.0025665734247539707,0.4702437961958033,0.39772539860082357,1.8170027872966446,1.6540735846006398
16,0.0032,0.002680686443630842,0.002680686443630842,0.5552569097567502,0.5049235769609287,1.9203405759391479,1.8476921268125912
17,0.0034,0.0028596742591955326,0.0028596742591955326,0.551940080241913,0.4827465133317049,2.019074044418759,1.8498932878992675
18,0.0036,0.003057876536948001,0.003057876536948001,0.5511401794022635,0.487696817724672,2.154457325288072,2.0081555511333717
19,0.0038,0.003257127994065412,0.003257127994065412,0.5546497782993495,0.4919855044177242,2.300845069569965,2.178023134068163
20,0.004,0.0034374505405108113,0.0034374505405108113,0.5856530272569135,0.5173538605249413,2.419408305509665,2.221250460237893
21,0.0042,0.0036220227891878842,0.0036220227891878842,0.5783223115511332,0.5039090653683957,2.551301187036811,2.3287746576904125
22,0.0044,0.0038111217978700207,0.0038111217978700207,0.5965745552162126,0.5151615686747502,2.691518003608751,2.598873061631189
23,0.0046,0.004011184205113372,0.004011184205113372,0.5899818122183131,0.5150674548765569,2.829482110223519,2.648733627726734
24,0.0048,0.0040579543885646,0.0040579543885646,0.7053017787774898,0.6220051702015548,2.898199527645993,2.684688826153518
25,0.005,0.004258784872760213,0.004258784872760213,0.687212841700446,0.604567763517583,3.0070012161229362,2.817205705351778
26,0.0052,0.004462605963056365,0.004462605963056365,0.6918974939547738,0.5877032499488273,3.163896046774334,3.0417184646784166
27,0.0054,0.004659514360781936,0.004659514360781936,0.6832917483657499,0.5844618809009682,3.290027700209775,3.1208039003012247
28,0.0056,0.004859254005830316,0.004859254005830316,0.687055000293878,0.5804114028014287,3.4294891182267087,3.299343612246609
29,0.0058,0.005058463398701862,0.005058463398701862,0.6813529459962241,0.5716735925931056,3.5722175340811027,3.4150585746927846
30,0.006,0.005256788229016873,0.005256788229016873,0.6803475646173708,0.562314367412684,3.708109280693894,3.575384285226637
31,0.0062,0.005418141013936673,0.005418141013936673,0.6901221188428327,0.5765886677526083,3.729567146925289,3.531464532661065
32,0.0064,0.005624673630240107,0.005624673630240107,0.695131896273443,0.5606370980750544,3.9429303973767764,3.8117438589292854
33,0.0066,0.00580568416978533,0.00580568416978533,0.6968706683705927,0.5800996718513758,4.047456264563505,3.8884656808757443
34,0.0068,0.00600538215505142,0.00600538215505142,0.6794013648217856,0.5569214659231626,4.2409764717633625,4.106806280250038
35,0.007,0.006176766049235782,0.006176766049235782,0.7060319364791199,0.563689345508041,4.283217641742309,4.117158889282826
36,0.0072,0.00636190373844947,0.00636190373844947,0.7060494399262427,0.6148904141591429,4.446393085881906,4.5816192370893125
37,0.0074,0.006546192862394218,0.006546192862394218,0.7012695103246203,0.5819207950820077,4.571396734055428,4.498415020840672
38,0.0076,0.006744311820582549,0.006744311820582549,0.6964676149845404,0.5460047088877386,4.710479046772144,4.5384546721231445
39,0.0078,0.0060274120904695305,0.0060274120904695305,1.035765356587288,1.3698339148343774,3.873461158779021,4.057829420092981
40,0.008,0.006211093305167559,0.006211093305167559,1.0644330685683394,1.415676911646412,4.0258341428710676,4.121650357467849
41,0.0082,0.006410023213482052,0.006410023213482052,1.0322986698504102,1.3442279201531735,4.138978476781797,4.195448680640634
42,0.0084,0.006608022450354856,0.006608022450354856,1.023349886836328,1.3083436180606922,4.258008873135478,4.300410156272317
43,0.0086,0.00680905112186303,0.00680905112186303,0.9814825912541859,1.3105094846051941,4.369619741433919,4.46802901398916
44,0.0088,0.007007737947371417,0.007007737947371417,1.0033429736046746,1.2931723845175396,4.5248335541659355,4.5842666623522765
45,0.009,0.007206345902418754,0.007206345902418754,1.0016412178784948,1.2904055334960147,4.660192875250195,4.723471991241817
46,0.0092,0.007404627455095625,0.007404627455095625,1.0042994506577556,1.2735698370967552,4.792231312279864,4.849413338305779
47,0.0094,0.007602788881993838,0.007602788881993838,1.005246316963273,1.27013463363456,4.925111875243131,4.979884242238542
