# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
88000 -6747.71 1035.33 -6286.1 -6104.39 5187.64 -6251.3
89000 -10229.2 -1399.44 -6189.9 -9745.94 2904.19 -6124.88
90000 -9857.93 -343.999 -6217.07 -9427.12 3187.01 -6207.61
91000 -9193.34 2821.69 -6641.95 -9534.36 6135.83 -6633.04
92000 -10237.6 3543.43 -7193.59 -10505.2 7225.91 -7179.95
93000 -10802.9 2164.41 -8719.15 -11109.4 5814.99 -8709.43
94000 -10872.3 3912.14 -8780.39 -10822.7 7731.3 -8852.65
95000 -11219.7 5582.02 -9501.66 -10548 9842.85 -9482.95
96000 -10527.5 3684.38 -9169.37 -9841.83 7866.68 -9149.82
97000 -8806.36 2687.07 -9344.66 -8314.6 7454.51 -9315.87
98000 -7939.09 1193.76 -8674.31 -7859.9 6548.08 -8592.97
99000 -7165.06 7727.65 -8648.28 -7266.68 12511.4 -8626.58
100000 -4441.93 10511.5 -8875.86 -4566.11 14746.1 -8876.58
101000 -6074.07 8230.2 -8456.35 -6193.79 12502.3 -8416.31
102000 -6757.01 5223.58 -9141.93 -6146.08 9702.94 -9114.67
103000 -8357.69 4847.76 -9198.88 -7906 9353.51 -9161.99
104000 -10213.7 4529.94 -8935.91 -10248 8970.96 -8949.68
105000 -10924.8 1101.07 -8784.63 -11153 5289.54 -8783.25
106000 -10460.1 -4017.56 -8108.79 -10806.5 156.607 -8096.48
107000 -11499.6 -5204.18 -7936.34 -11898.7 -1167.01 -7929.67
108000 -11779.6 -914.047 -8115.94 -11533.9 2695.36 -8128.31
109000 -11972.2 -1308.45 -8274.71 -11920.2 2953.55 -8248.15
110000 -12464 -1530.64 -8601.99 -12880 3095.67 -8617.68
111000 -9963.13 -7145 -8064.2 -9639.65 -3019.33 -7987.89
112000 -8876.12 -6019.99 -7419.06 -8040.41 -2247.12 -7412.26
113000 -6607.05 -5589.85 -7354.93 -6310.99 -1963.09 -7327.45
114000 -2950.7 -7630.29 -6994.91 -3366.61 -3351.77 -6978.48
115000 405.467 -9949.61 -6838.14 -376.427 -5125.33 -6829.29
116000 1265.55 -8038.07 -7084.49 800.334 -3951.22 -7090.11
117000 5739.82 -8023.06 -7294.9 5300.23 -4287.89 -7259.24
118000 4323.17 -10523.2 -7314.44 3736.19 -6919.37 -7350.68
119000 6308.2 -7700.96 -6657.99 6025.79 -3757.06 -6622.85
120000 9370.27 -5878.45 -6695.56 9776.52 -1947.21 -6658.63
121000 11383.6 -9649.68 -6662.3 12012.7 -5904.68 -6658.16
122000 11293.1 -12611.7 -6124.15 11918.1 -8034.93 -6137.41
123000 13094.4 -15174.1 -5793.34 13778.5 -10615.4 -5778.72
124000 15474.9 -15227.8 -5550.09 16020.2 -10466.8 -5575.09
125000 15791.1 -14707.4 -5821.98 16097.8 -9975.16 -5799.65
126000 18338.9 -9339.45 -5312.09 18575.1 -5049.32 -5288.06
127000 16673.7 -7393.9 -5872.4 16912.6 -3110.23 -5822.84
128000 12025.4 -9852.19 -6233.1 12090.7 -5393.06 -6208.04
129000 10683.1 -13895.4 -6510.58 10751.9 -9833.81 -6510.43
130000 10339.5 -14386.1 -6267.59 10506.1 -10457.6 -6268.9
131000 9140.52 -13760.3 -6744.58 9449.59 -10166.8 -6758.43
132000 8273.93 -12262.5 -6297.59 8895.82 -8503.57 -6282.73
133000 6326.19 -8041.88 -5644.46 6767.49 -4347.87 -5646.13
134000 6071.83 -8788.69 -6936.21 6204.21 -5345.86 -6930.64
135000 6613.04 -8810.91 -7055.27 6421.63 -5431.24 -7062.54
136000 7045.5 -10200.9 -5786.17 7120.95 -5955.1 -5772.47
137000 7151.41 -10032.3 -4458.19 7213.98 -5945.38 -4448.62
138000 8192.64 -7350.72 -4534.56 8134.77 -3608 -4529.47
139000 8521.53 -9976.35 -4684.74 8467.33 -5974.75 -4601.55
140000 7500.19 -7765.08 -3736.63 7146.24 -3491.93 -3715.02
