# LAMMPS data file written by OVITO Basic 3.5.4
82080 atoms
2 atom types
-42.548 59.5672 xlo xhi
-44.217 54.043 ylo yhi
-48.6468 54.052 zlo zhi

Atoms  # atomic

1 1 -34.6596008 -40.9773678 -47.48954668
2 1 -38.9144008 -43.4338678 -47.48954668
3 1 -36.53341472 -41.4617896 -45.687831364
4 1 -40.78821472 -43.9182896 -45.687831364
5 1 -39.43178448 -40.3858426 -43.886061996
6 1 -35.17698448 -42.8423426 -43.886061996
7 1 -41.9267992 -40.9773678 -44.39885332
8 1 -37.6719992 -43.4338678 -44.39885332
9 1 -40.05298528 -41.4617896 -46.200568636
10 1 -35.79818528 -43.9182896 -46.200568636
11 1 -37.15461552 -40.3858426 -48.002338004
12 1 -41.40941552 -42.8423426 -48.002338004
13 2 -36.03858148 -40.45880065 -46.845084684
14 2 -40.29338148 -42.91530065 -46.845084684
15 2 -40.54781852 -40.45880065 -45.043315316
16 2 -36.29301852 -42.91530065 -45.043315316
17 2 -38.2932 -39.4508987 -48.6468
18 2 -42.548 -41.9073987 -48.6468
19 1 -34.6596008 -40.9773678 -42.08434668
20 1 -38.9144008 -43.4338678 -42.08434668
21 1 -36.53341472 -41.4617896 -40.282631364
22 1 -40.78821472 -43.9182896 -40.282631364
23 1 -39.43178448 -40.3858426 -38.480861996
24 1 -35.17698448 -42.8423426 -38.480861996
25 1 -41.9267992 -40.9773678 -38.99365332
26 1 -37.6719992 -43.4338678 -38.99365332
27 1 -40.05298528 -41.4617896 -40.795368636
28 1 -35.79818528 -43.9182896 -40.795368636
29 1 -37.15461552 -40.3858426 -42.597138004
30 1 -41.40941552 -42.8423426 -42.597138004
31 2 -36.03858148 -40.45880065 -41.439884684
32 2 -40.29338148 -42.91530065 -41.439884684
33 2 -40.54781852 -40.45880065 -39.638115316
34 2 -36.29301852 -42.91530065 -39.638115316
35 2 -38.2932 -39.4508987 -43.2416
36 2 -42.548 -41.9073987 -43.2416
37 1 -34.6596008 -40.9773678 -36.67914668
38 1 -38.9144008 -43.4338678 -36.67914668
39 1 -36.53341472 -41.4617896 -34.877431364
40 1 -40.78821472 -43.9182896 -34.877431364
41 1 -39.43178448 -40.3858426 -33.075661996
42 1 -35.17698448 -42.8423426 -33.075661996
43 1 -41.9267992 -40.9773678 -33.58845332
44 1 -37.6719992 -43.4338678 -33.58845332
45 1 -40.05298528 -41.4617896 -35.390168636
46 1 -35.79818528 -43.9182896 -35.390168636
47 1 -37.15461552 -40.3858426 -37.191938004
48 1 -41.40941552 -42.8423426 -37.191938004
49 2 -36.03858148 -40.45880065 -36.034684684
50 2 -40.29338148 -42.91530065 -36.034684684
51 2 -40.54781852 -40.45880065 -34.232915316
52 2 -36.29301852 -42.91530065 -34.232915316
53 2 -38.2932 -39.4508987 -37.8364
54 2 -42.548 -41.9073987 -37.8364
55 1 -34.6596008 -40.9773678 -31.27394668
56 1 -38.9144008 -43.4338678 -31.27394668
57 1 -36.53341472 -41.4617896 -29.472231364
58 1 -40.78821472 -43.9182896 -29.472231364
59 1 -39.43178448 -40.3858426 -27.670461996
60 1 -35.17698448 -42.8423426 -27.670461996
61 1 -41.9267992 -40.9773678 -28.18325332
62 1 -37.6719992 -43.4338678 -28.18325332
63 1 -40.05298528 -41.4617896 -29.984968636
64 1 -35.79818528 -43.9182896 -29.984968636
65 1 -37.15461552 -40.3858426 -31.786738004
66 1 -41.40941552 -42.8423426 -31.786738004
67 2 -36.03858148 -40.45880065 -30.629484684
68 2 -40.29338148 -42.91530065 -30.629484684
69 2 -40.54781852 -40.45880065 -28.827715316
70 2 -36.29301852 -42.91530065 -28.827715316
71 2 -38.2932 -39.4508987 -32.4312
72 2 -42.548 -41.9073987 -32.4312
73 1 -34.6596008 -40.9773678 -25.86874668
74 1 -38.9144008 -43.4338678 -25.86874668
75 1 -36.53341472 -41.4617896 -24.067031364
76 1 -40.78821472 -43.9182896 -24.067031364
77 1 -39.43178448 -40.3858426 -22.265261996
78 1 -35.17698448 -42.8423426 -22.265261996
79 1 -41.9267992 -40.9773678 -22.77805332
80 1 -37.6719992 -43.4338678 -22.77805332
81 1 -40.05298528 -41.4617896 -24.579768636
82 1 -35.79818528 -43.9182896 -24.579768636
83 1 -37.15461552 -40.3858426 -26.381538004
84 1 -41.40941552 -42.8423426 -26.381538004
85 2 -36.03858148 -40.45880065 -25.224284684
86 2 -40.29338148 -42.91530065 -25.224284684
87 2 -40.54781852 -40.45880065 -23.422515316
88 2 -36.29301852 -42.91530065 -23.422515316
89 2 -38.2932 -39.4508987 -27.026
90 2 -42.548 -41.9073987 -27.026
91 1 -34.6596008 -40.9773678 -20.46354668
92 1 -38.9144008 -43.4338678 -20.46354668
93 1 -36.53341472 -41.4617896 -18.661831364
94 1 -40.78821472 -43.9182896 -18.661831364
95 1 -39.43178448 -40.3858426 -16.860061996
96 1 -35.17698448 -42.8423426 -16.860061996
97 1 -41.9267992 -40.9773678 -17.37285332
98 1 -37.6719992 -43.4338678 -17.37285332
99 1 -40.05298528 -41.4617896 -19.174568636
100 1 -35.79818528 -43.9182896 -19.174568636
101 1 -37.15461552 -40.3858426 -20.976338004
102 1 -41.40941552 -42.8423426 -20.976338004
103 2 -36.03858148 -40.45880065 -19.819084684
104 2 -40.29338148 -42.91530065 -19.819084684
105 2 -40.54781852 -40.45880065 -18.017315316
106 2 -36.29301852 -42.91530065 -18.017315316
107 2 -38.2932 -39.4508987 -21.6208
108 2 -42.548 -41.9073987 -21.6208
109 1 -34.6596008 -40.9773678 -15.05834668
